;;;;;;;;;;;;;;;;;
II.1.7 - População estrangeira com estatuto de residente segundo as principais nacionalidades por município, 2021;;;;;;;;;;;;;;;;;
II.1.7 - Foreign population with resident status according to main nationalities by municipality, 2021;;;;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;;;Unit: No.;;;Desagregação Territorial;;;
;Total;Brasil ;Ucrânia;Cabo Verde;Roménia;Angola;Guiné Bissau;Reino Unido;Moldávia;China;São Tomé e Príncipe;;NUTS_2013;NUTS I;NUTS II;NUTS III;Município
Rio Maior;  1 786;   474;   176;   7;   83;   26;   3;   35;   21;   31;   2;;1851414;;;;x
Salvaterra de Magos;   589;   251;   47;   9;   31;   20;   2;   8;   0;   28;   3;;1851415;;;;x
Santarém;  3 405;   900;   279;   32;   492;   130;   43;   50;   53;   104;   15;;1851416;;;;x
   Alto Alentejo;  2 881;   687;   106;   62;   480;   50;   19;   173;   69;   129;   7;;186;;;x;
Alter do Chão;   114;   21;   0;   0;   75;   4;   0;   0;   4;   3;   0;;1861201;;;;x
Arronches;   70;   4;   1;   1;   8;   0;   1;   14;   5;   6;   0;;1861202;;;;x
Avis;   61;   15;   1;   0;   18;   0;   1;   4;   2;   3;   0;;1861203;;;;x
Campo Maior;   262;   56;   2;   2;   111;   1;   0;   1;   24;   3;   0;;1861204;;;;x
Castelo de Vide;   142;   9;   9;   0;   8;   2;   0;   27;   0;   3;   0;;1861205;;;;x
Crato;   66;   15;   3;   3;   26;   0;   0;   2;   2;   4;   1;;1861206;;;;x
Elvas;   624;   160;   37;   3;   96;   17;   5;   7;   21;   24;   0;;1861207;;;;x
Fronteira;   71;   8;   1;   0;   40;   0;   0;   4;   0;   0;   0;;1861208;;;;x
Gavião;   18;   6;   2;   0;   2;   1;   0;   0;   0;   3;   0;;1861209;;;;x
Marvão;   212;   21;   1;   0;   2;   0;   0;   58;   0;   0;   0;;1861210;;;;x
Monforte;   36;   4;   6;   1;   5;   1;   0;   0;   5;   3;   0;;1861211;;;;x
Nisa;   92;   14;   1;   0;   9;   1;   0;   2;   0;   8;   0;;1861212;;;;x
Ponte de Sor;   395;   168;   24;   6;   19;   3;   2;   11;   0;   23;   0;;1861213;;;;x
Portalegre;   619;   154;   18;   46;   21;   20;   9;   41;   6;   41;   6;;1861214;;;;x
Sousel;   99;   32;   0;   0;   40;   0;   1;   2;   0;   5;   0;;1861215;;;;x
   Alentejo Central;  4 897;  1 652;   270;   137;   552;   91;   22;   144;   58;   308;   20;;187;;;x;
Alandroal;   119;   12;   9;   0;   11;   1;   1;   12;   0;   1;   0;;1870701;;;;x
Arraiolos;   164;   30;   2;   0;   18;   0;   2;   15;   2;   17;   0;;1870702;;;;x
Borba;   129;   39;   9;   2;   40;   3;   3;   3;   0;   8;   0;;1870703;;;;x
Estremoz;   326;   74;   26;   2;   110;   0;   0;   33;   1;   11;   0;;1870704;;;;x
Évora;  2 282;   989;   118;   110;   73;   65;   13;   46;   19;   128;   16;;1870705;;;;x
Montemor-o-Novo;   452;   186;   20;   5;   42;   7;   0;   5;   3;   35;   2;;1870706;;;;x
Mora;   47;   3;   1;   0;   17;   1;   0;   4;   0;   8;   1;;1870707;;;;x
Mourão;   51;   2;   0;   0;   12;   0;   0;   2;   4;   0;   0;;1870708;;;;x
Portel;   129;   31;   6;   2;   18;   3;   0;   3;   2;   6;   0;;1870709;;;;x
Redondo;   194;   32;   15;   1;   95;   0;   0;   5;   0;   5;   0;;1870710;;;;x
Reguengos de Monsaraz;   307;   74;   24;   0;   82;   1;   0;   14;   24;   13;   0;;1870711;;;;x
Vendas Novas;   451;   110;   29;   7;   29;   8;   2;   2;   1;   44;   1;;1870712;;;;x
Viana do Alentejo;   108;   38;   10;   8;   1;   2;   1;   0;   2;   10;   0;;1870713;;;;x
Vila Viçosa;   138;   32;   1;   0;   4;   0;   0;   0;   0;   22;   0;;1870714;;;;x
  Algarve;  105 137;  17 496;  5 445;  1 896;  6 855;   601;  1 250;  20 770;  1 800;  1 438;   108;;150;;x;x;
Albufeira;  16 433;  3 443;  1 184;   282;   593;   86;   459;  2 777;   242;   289;   24;;1500801;;;;x
Alcoutim;   219;   4;   1;   3;   7;   0;   0;   98;   0;   3;   0;;1500802;;;;x
Aljezur;  2 192;   184;   52;   5;   37;   3;   8;   472;   14;   12;   0;;1500803;;;;x
Castro Marim;   997;   51;   23;   2;   38;   1;   1;   150;   1;   4;   1;;1500804;;;;x
Faro;  9 714;  2 260;   789;   249;   801;   63;   139;   808;   244;   137;   5;;1500805;;;;x
Lagoa;  5 459;   665;   200;   113;   83;   28;   48;  1 690;   46;   59;   2;;1500806;;;;x
Lagos;  11 651;  1 365;   342;   90;   537;   42;   6;  3 753;   160;   143;   10;;1500807;;;;x
Loulé;  18 707;  3 422;   952;   586;  2 285;   128;   147;  3 608;   320;   257;   17;;1500808;;;;x
Monchique;   907;   41;   6;   3;   55;   1;   0;   355;   0;   5;   0;;1500809;;;;x
Olhão;  5 288;   724;   334;   120;   352;   69;   107;   757;   28;   70;   10;;1500810;;;;x
Portimão;  12 014;  3 091;   744;   241;   953;   118;   232;  1 286;   527;   194;   16;;1500811;;;;x
São Brás de Alportel;  1 511;   193;   124;   14;   29;   12;   0;   525;   14;   23;   0;;1500812;;;;x
Silves;  7 231;  1 144;   324;   89;   391;   24;   82;  1 634;   162;   110;   11;;1500813;;;;x
Tavira;  7 238;   455;   169;   56;   412;   13;   13;  1 773;   29;   55;   1;;1500814;;;;x
Vila do Bispo;  2 345;   142;   54;   32;   56;   1;   4;   792;   1;   8;   6;;1500815;;;;x
Vila Real de Santo António;  3 231;   312;   147;   11;   226;   12;   4;   292;   12;   69;   5;;1500816;;;;x
 R. A. Açores;  4 462;   878;   73;   170;   40;   30;   32;   248;   5;   340;   11;;200;x;x;x;
  Santa Maria;   163;   6;   1;   2;   0;   0;   0;   16;   0;   2;   0;;-;;;;
Vila do Porto;   163;   6;   1;   2;   0;   0;   0;   16;   0;   2;   0;;2004101;;;;x
  São Miguel;  2 007;   382;   30;   33;   27;   14;   21;   68;   2;   214;   0;;-;;;;
Lagoa (R.A.A.);   162;   25;   0;   2;   1;   0;   0;   6;   0;   17;   0;;2004201;;;;x
Nordeste;   58;   10;   0;   1;   0;   0;   2;   2;   0;   2;   0;;2004202;;;;x
Ponta Delgada;  1 337;   272;   20;   29;   21;   14;   16;   32;   2;   128;   0;;2004203;;;;x
Povoação;   104;   15;   4;   0;   2;   0;   0;   9;   0;   14;   0;;2004204;;;;x
Ribeira Grande;   248;   53;   6;   0;   3;   0;   3;   10;   0;   44;   0;;2004205;;;;x
Vila Franca do Campo;   98;   7;   0;   1;   0;   0;   0;   9;   0;   9;   0;;2004206;;;;x
  Terceira;   671;   164;   16;   33;   8;   9;   10;   25;   1;   49;   5;;-;;;;
Angra do Heroísmo;   445;   101;   8;   24;   6;   7;   7;   21;   0;   38;   3;;2004301;;;;x
Vila da Praia da Vitória;   226;   63;   8;   9;   2;   2;   3;   4;   1;   11;   2;;2004302;;;;x
  Graciosa;   52;   14;   0;   0;   0;   0;   0;   2;   0;   4;   0;;-;;;;
Santa Cruz da Graciosa;   52;   14;   0;   0;   0;   0;   0;   2;   0;   4;   0;;2004401;;;;x
  São Jorge;   134;   51;   2;   1;   1;   0;   0;   4;   1;   12;   0;;-;;;;
Calheta (R.A.A.);   39;   15;   1;   1;   1;   0;   0;   2;   1;   2;   0;;2004501;;;;x
Velas;   95;   36;   1;   0;   0;   0;   0;   2;   0;   10;   0;;2004502;;;;x
  Pico;   538;   126;   9;   45;   0;   0;   0;   35;   1;   27;   3;;-;;;;
Lajes do Pico;   180;   51;   1;   1;   0;   0;   0;   15;   1;   2;   0;;2004601;;;;x
Madalena;   221;   58;   5;   21;   0;   0;   0;   7;   0;   17;   0;;2004602;;;;x
São Roque do Pico;   137;   17;   3;   23;   0;   0;   0;   13;   0;   8;   3;;2004603;;;;x
  Faial;   714;   118;   9;   47;   2;   6;   0;   93;   0;   25;   3;;-;;;;
Horta;   714;   118;   9;   47;   2;   6;   0;   93;   0;   25;   3;;2004701;;;;x
  Flores;   172;   14;   5;   6;   2;   1;   1;   5;   0;   7;   0;;-;;;;
Lajes das Flores;   117;   9;   2;   1;   1;   0;   1;   3;   0;   2;   0;;2004801;;;;x
Santa Cruz das Flores;   55;   5;   3;   5;   1;   1;   0;   2;   0;   5;   0;;2004802;;;;x
  Corvo;   11;   3;   1;   3;   0;   0;   0;   0;   0;   0;   0;;-;;;;
Corvo;   11;   3;   1;   3;   0;   0;   0;   0;   0;   0;   0;;2004901;;;;x
 R. A. Madeira;  10 405;   987;   244;   59;   267;   37;   36;  1 215;   22;   228;   74;;300;x;x;x;
Calheta (R.A.M.);   982;   23;   7;   0;   2;   0;   0;   229;   0;   5;   1;;3003101;;;;x
Câmara de Lobos;   458;   66;   1;   2;   5;   0;   1;   27;   1;   7;   1;;3003102;;;;x
Funchal;  5 280;   554;   179;   41;   182;   26;   27;   578;   17;   146;   20;;3003103;;;;x
Machico;   400;   75;   15;   7;   4;   1;   0;   36;   0;   17;   1;;3003104;;;;x
Ponta do Sol;   516;   6;   1;   1;   5;   0;   0;   83;   0;   6;   0;;3003105;;;;x
Porto Moniz;   105;   1;   0;   0;   1;   0;   0;   4;   0;   0;   0;;3003106;;;;x
Ribeira Brava;   503;   28;   4;   0;   1;   2;   0;   44;   0;   5;   0;;3003107;;;;x
Santa Cruz;  1 429;   171;   26;   8;   18;   4;   4;   142;   0;   29;   1;;3003108;;;;x
Santana;   117;   12;   2;   0;   1;   1;   0;   6;   0;   0;   0;;3003109;;;;x
São Vicente;   195;   13;   0;   0;   0;   1;   0;   16;   0;   6;   0;;3003110;;;;x
Porto Santo;   420;   38;   9;   0;   48;   2;   4;   50;   4;   7;   50;;3003201;;;;x
;Total;Brazil;Ukraine;Cabo Verde;Romania;Angola;Guinea-Bissau;United Kingdom;Moldavia;China;São Tomé and Príncipe;;;;;;
© INE, I.P., Portugal, 2022. Informação disponível até 14 de outubro de 2022. Information available till 14th October, 2022.;;;;;;;;;;;;;;;;;
"Fonte: INE, I.P., Estatísticas Demográficas; População estrangeira que solicitou estatuto de residente.";;;;;;;;;;;;;;;;;
"Source: Statistics Portugal, Demographic Statistics; Foreign population which requested resident status.";;;;;;;;;;;;;;;;;
Nota: A população estrangeira com estatuto de residente compreende exclusivamente os indivíduos de nacionalidade estrangeira detentores de um título de residência válido.;;;;;;;;;;;;;;;;;
Note: Foreign population with resident status only includes foreigners with a valid residence title.;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Para mais informação consulte / For more information see:;;;;;;;;;;;;;;;;;
http://www.ine.pt/xurl/ind/0010247;;;;;;;;;;;;;;;;;
