;;;;;;;;;;;;;;;
II.1.6 - Movimento da população e população estrangeira por município, 2021 (continua);;;;;;;;;;;;;;;
II.1.6 - Population changes and foreign population by municipality, 2021 (to be continued);;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;Unit: No.;;;;;;
;Nados-vivos;;;;;Óbitos;;;;;;;;;
Castro Marim;   46;   21;   25;   37;   26;   96;   48;   48;   0;;1500804;;;;x
Faro;   593;   288;   305;   419;   269;   795;   414;   381;   1;;1500805;;;;x
Lagoa;   224;   106;   118;   166;   106;   260;   145;   115;   0;;1500806;;;;x
Lagos;   258;   125;   133;   178;   111;   417;   224;   193;   0;;1500807;;;;x
Loulé;   687;   342;   345;   460;   296;   962;   533;   429;   1;;1500808;;;;x
Monchique;   39;   21;   18;   33;   27;   124;   55;   69;   0;;1500809;;;;x
Olhão;   363;   177;   186;   266;   161;   540;   276;   264;   0;;1500810;;;;x
Portimão;   584;   293;   291;   388;   242;   734;   390;   344;   1;;1500811;;;;x
São Brás de Alportel;   102;   55;   47;   70;   55;   140;   74;   66;   0;;1500812;;;;x
Silves;   321;   165;   156;   213;   153;   508;   281;   227;   1;;1500813;;;;x
Tavira;   199;   102;   97;   136;   96;   400;   208;   192;   0;;1500814;;;;x
Vila do Bispo;   57;   30;   27;   45;   41;   82;   45;   37;   0;;1500815;;;;x
Vila Real de Santo António;   140;   63;   77;   94;   41;   244;   119;   125;   0;;1500816;;;;x
 R. A. Açores;  2 043;  1 019;  1 024;  1 108;   864;  2 365;  1 227;  1 138;   5;;200;x;x;x;
  Santa Maria;   56;   25;   31;   40;   36;   61;   30;   31;   0;;-;;;;
Vila do Porto;   56;   25;   31;   40;   36;   61;   30;   31;   0;;2004101;;;;x
  São Miguel;  1 230;   617;   613;   647;   489;  1 202;   629;   573;   5;;-;;;;
Lagoa (R.A.A.);   135;   68;   67;   56;   35;   146;   87;   59;   0;;2004201;;;;x
Nordeste;   27;   14;   13;   17;   15;   56;   27;   29;   0;;2004202;;;;x
Ponta Delgada;   621;   301;   320;   341;   260;   602;   304;   298;   4;;2004203;;;;x
Povoação;   45;   19;   26;   21;   18;   58;   27;   31;   0;;2004204;;;;x
Ribeira Grande;   331;   169;   162;   173;   130;   241;   130;   111;   1;;2004205;;;;x
Vila Franca do Campo;   71;   46;   25;   39;   31;   99;   54;   45;   0;;2004206;;;;x
  Terceira;   428;   218;   210;   225;   165;   558;   268;   290;   0;;-;;;;
Angra do Heroísmo;   260;   128;   132;   140;   102;   354;   167;   187;   0;;2004301;;;;x
Vila da Praia da Vitória;   168;   90;   78;   85;   63;   204;   101;   103;   0;;2004302;;;;x
  Graciosa;   29;   15;   14;   21;   16;   43;   26;   17;   0;;-;;;;
Santa Cruz da Graciosa;   29;   15;   14;   21;   16;   43;   26;   17;   0;;2004401;;;;x
  São Jorge;   55;   28;   27;   28;   25;   106;   60;   46;   0;;-;;;;
Calheta (R.A.A.);   21;   11;   10;   10;   9;   36;   24;   12;   0;;2004501;;;;x
Velas;   34;   17;   17;   18;   16;   70;   36;   34;   0;;2004502;;;;x
  Pico;   101;   47;   54;   56;   51;   149;   76;   73;   0;;-;;;;
Lajes do Pico;   32;   13;   19;   17;   15;   47;   22;   25;   0;;2004601;;;;x
Madalena;   47;   24;   23;   27;   26;   68;   35;   33;   0;;2004602;;;;x
São Roque do Pico;   22;   10;   12;   12;   10;   34;   19;   15;   0;;2004603;;;;x
  Faial;   110;   51;   59;   64;   58;   191;   107;   84;   0;;-;;;;
Horta;   110;   51;   59;   64;   58;   191;   107;   84;   0;;2004701;;;;x
  Flores;   29;   16;   13;   23;   20;   49;   26;   23;   0;;-;;;;
Lajes das Flores;   7;   5;   2;   6;   5;   25;   15;   10;   0;;2004801;;;;x
Santa Cruz das Flores;   22;   11;   11;   17;   15;   24;   11;   13;   0;;2004802;;;;x
  Corvo;   5;   2;   3;   4;   4;   6;   5;   1;   0;;-;;;;
Corvo;   5;   2;   3;   4;   4;   6;   5;   1;   0;;2004901;;;;x
 R. A. Madeira;  1 744;   887;   857;  1 118;   720;  2 875;  1 416;  1 459;   6;;300;x;x;x;
Calheta (R.A.M.);   67;   34;   33;   38;   24;   170;   76;   94;   1;;3003101;;;;x
Câmara de Lobos;   270;   136;   134;   195;   121;   285;   138;   147;   4;;3003102;;;;x
Funchal;   720;   372;   348;   482;   303;  1 322;   655;   667;   0;;3003103;;;;x
Machico;   111;   51;   60;   57;   39;   195;   99;   96;   1;;3003104;;;;x
Ponta do Sol;   62;   32;   30;   35;   22;   102;   51;   51;   0;;3003105;;;;x
Porto Moniz;   10;   4;   6;   1;   1;   32;   17;   15;   0;;3003106;;;;x
Ribeira Brava;   92;   50;   42;   40;   26;   150;   65;   85;   0;;3003107;;;;x
Santa Cruz;   330;   165;   165;   221;   143;   374;   187;   187;   0;;3003108;;;;x
Santana;   28;   16;   12;   19;   14;   101;   45;   56;   0;;3003109;;;;x
São Vicente;   21;   10;   11;   12;   9;   90;   53;   37;   0;;3003110;;;;x
Porto Santo;   33;   17;   16;   18;   18;   54;   30;   24;   0;;3003201;;;;x
;Live births;;;;;Deaths;;;;;;;;;
;Total;;;Outside marriage;;Total;;;Aged under 1 year;;;;;;
;MF;M;F;Total;Cohabitant parents;MF;M;F;;;;;;;
© INE, I.P., Portugal, 2022. Informação disponível até 14 de outubro de 2022. Information available till 14th October, 2022.;;;;;;;;;;;;;;;
Fonte: INE, I.P., Indicadores Demográficos.;;;;;;;;;;;;;;;
Source: Statistics Portugal, Demographic Indicators.;;;;;;;;;;;;;;;
"Nota: O valor de Portugal inclui as ocorrências de nados-vivos e óbitos relativos à população residente no país e a residência ignorada (ocorrências relativas à população que não é referenciável a um nível territorial específico, por falta de informação).
O valor total de nados-vivos e óbitos pode não corresponder à soma das parcelas por sexo, devido à existência de registos com sexo ignorado.
";;;;;;;;;;;;;;;
"Note: The value for Portugal includes live births and deaths of resident population in the country and also those whose residence is unknown (population that is not allocated to a specific territorial level, for lack of information).
The total number of live births and deaths may not correspond to the sum of the partial figures by sex, due to the existence of records with unknown sex.
";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Para mais informação consulte / For more information see:;;;;;;;;;;;;;;;
http://www.ine.pt/xurl/ind/0008079;;;;;;;;;;;;;;;
http://www.ine.pt/xurl/ind/0008180;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
