;;;;;;;;;;;;;;;;;;;;;
II.1.6 - Movimento da população e população estrangeira por município, 2021 (continuação);;;;;;;;;;;;;;;;;;;;;
II.1.6 - Population changes and foreign population by municipality, 2021 (continued);;;;;;;;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;;;;;;;Unit: No.;;;;;;
;Casamentos;;;;;;Casamentos dissolvidos;;;População estrangeira a quem foi concedido título de residência;;;População estrangeira com estatuto de residente;;;;;;;;
Pinhel;   15;   15;   10;   5;   0;   0;   81;   13;   68;   9;   7;   2;   84;   45;   39;;16J0910;;;;x
Sabugal;   10;   10;   4;   6;   0;   0;   102;   7;   95;   13;   8;   5;   131;   61;   70;;16J0911;;;;x
Seia;   44;   44;   33;   11;   0;   0;   198;   23;   175;   61;   25;   36;   475;   227;   248;;16J0912;;;;x
Trancoso;   11;   11;   7;   4;   0;   0;   69;   4;   65;   18;   14;   4;   100;   54;   46;;16J0913;;;;x
  A. M. Lisboa;  6 816;  6 561;  5 584;   948;   129;   126;  17 456;  4 649;  12 807;  54 283;  28 862;  25 421;  343 995;  176 104;  167 891;;170;;x;x;
Alcochete;   81;   77;   62;   15;   1;   3;   111;   45;   66;   192;   96;   96;  1 388;   719;   669;;1701502;;;;x
Almada;   211;   207;   186;   21;   2;   2;  1 090;   271;   819;  2 739;  1 380;  1 359;  16 570;  8 227;  8 343;;1701503;;;;x
Amadora;   104;   102;   76;   25;   0;   2;  1 012;   285;   727;  3 239;  1 735;  1 504;  23 834;  12 075;  11 759;;1701115;;;;x
Barreiro;   207;   201;   178;   23;   3;   3;   591;   129;   462;   997;   491;   506;  5 768;  2 781;  2 987;;1701504;;;;x
Cascais;   551;   526;   427;   99;   14;   11;  1 287;   387;   900;  4 937;  2 470;  2 467;  34 097;  16 578;  17 519;;1701105;;;;x
Lisboa;  2 218;  2 108;  1 734;   363;   67;   43;  3 340;   732;  2 608;  18 664;  10 386;  8 278;  108 653;  59 183;  49 470;;1701106;;;;x
Loures;   342;   336;   254;   74;   4;   2;  1 260;   291;   969;  3 337;  1 781;  1 556;  21 579;  10 942;  10 637;;1701107;;;;x
Mafra;   277;   275;   200;   75;   1;   1;   452;   153;   299;  1 121;   585;   536;  6 116;  3 013;  3 103;;1701109;;;;x
Moita;   132;   131;   116;   15;   0;   1;   469;   122;   347;   782;   386;   396;  4 460;  2 117;  2 343;;1701506;;;;x
Montijo;   133;   130;   113;   16;   1;   2;   365;   91;   274;   903;   553;   350;  5 848;  3 262;  2 586;;1701507;;;;x
Odivelas;x;x;x;x;x;x;   908;   230;   678;  3 267;  1 863;  1 404;  20 788;  11 035;  9 753;;1701116;;;;x
Oeiras;   417;   403;   378;   25;   8;   6;   974;   248;   726;  2 086;  1 036;  1 050;  14 070;  6 681;  7 389;;1701110;;;;x
Palmela;   182;   180;   151;   29;   2;   0;   456;   127;   329;   550;   297;   253;  3 469;  1 743;  1 726;;1701508;;;;x
Seixal;   269;   261;   229;   28;   2;   6;  1 059;   321;   738;  2 206;  1 099;  1 107;  12 904;  6 255;  6 649;;1701510;;;;x
Sesimbra;   307;   299;   281;   18;   2;   6;   298;   87;   211;   510;   248;   262;  3 290;  1 627;  1 663;;1701511;;;;x
Setúbal;   460;   444;   426;   17;   8;   8;   930;   234;   696;  1 535;   801;   734;  9 509;  4 810;  4 699;;1701512;;;;x
Sintra;   726;   687;   615;   70;   13;   26;  2 060;   657;  1 403;  6 077;  3 099;  2 978;  42 475;  20 583;  21 892;;1701111;;;;x
Vila Franca de Xira;   199;   194;   158;   35;   1;   4;   794;   239;   555;  1 141;   556;   585;  9 177;  4 473;  4 704;;1701114;;;;x
  Alentejo;  1 874;  1 849;  1 375;   468;   14;   11;  5 442;  1 012;  4 430;  6 592;  4 322;  2 270;  39 702;  23 378;  16 324;;18;;x;;
   Alentejo Litoral;   220;   217;   191;   24;   1;   2;   637;   94;   543;  2 512;  1 834;   678;  14 622;  9 482;  5 140;;181;;;x;
Alcácer do Sal;   23;   22;   17;   5;   1;   0;   97;   6;   91;   78;   47;   31;   492;   283;   209;;1811501;;;;x
Grândola;   44;   44;   35;   7;   0;   0;   100;   18;   82;   153;   89;   64;   765;   389;   376;;1811505;;;;x
Odemira;   30;   30;   27;   3;   0;   0;   159;   18;   141;  1 895;  1 471;   424;  10 927;  7 505;  3 422;;1810211;;;;x
Santiago do Cacém;   62;   61;   55;   6;   0;   1;   193;   33;   160;   204;   114;   90;  1 348;   722;   626;;1811509;;;;x
Sines;   61;   60;   57;   3;   0;   1;   88;   19;   69;   182;   113;   69;  1 090;   583;   507;;1811513;;;;x
   Baixo Alentejo;   282;   279;   229;   49;   2;   1;   934;   149;   785;   975;   740;   235;  5 026;  3 135;  1 891;;184;;;x;
Aljustrel;   9;   9;   8;   1;   0;   0;   70;   8;   62;   32;   23;   9;   178;   112;   66;;1840201;;;;x
Almodôvar;   11;   11;   7;   4;   0;   0;   57;   6;   51;   36;   26;   10;   247;   130;   117;;1840202;;;;x
Alvito;   12;   12;   8;   4;   0;   0;   29;   5;   24;   12;   7;   5;   82;   39;   43;;1840203;;;;x
Barrancos;   4;   4;   3;   1;   0;   0;   13;   2;   11;   3;   2;   1;   18;   10;   8;;1840204;;;;x
Beja;   94;   92;   75;   16;   1;   1;   225;   46;   179;   370;   259;   111;  1 808;  1 107;   701;;1840205;;;;x
Castro Verde;   14;   14;   14;   0;   0;   0;   47;   7;   40;   25;   16;   9;   201;   110;   91;;1840206;;;;x
Cuba;   5;   5;   4;   1;   0;   0;   45;   8;   37;   154;   148;   6;   451;   368;   83;;1840207;;;;x
Ferreira do Alentejo;   32;   31;   30;   1;   1;   0;   83;   18;   65;   150;   132;   18;   692;   513;   179;;1840208;;;;x
Mértola;   21;   21;   19;   2;   0;   0;   60;   3;   57;   24;   13;   11;   181;   89;   92;;1840209;;;;x
Moura;   30;   30;   23;   7;   0;   0;   103;   16;   87;   9;   3;   6;   249;   141;   108;;1840210;;;;x
Ourique;   18;   18;   15;   3;   0;   0;   36;   7;   29;   50;   21;   29;   383;   181;   202;;1840212;;;;x
Serpa;   23;   23;   19;   4;   0;   0;   118;   16;   102;   100;   85;   15;   386;   252;   134;;1840213;;;;x
Vidigueira;   9;   9;   4;   5;   0;   0;   48;   7;   41;   10;   5;   5;   150;   83;   67;;1840214;;;;x
   Lezíria do Tejo;   664;   651;   481;   170;   7;   6;  1 812;   414;  1 398;  1 945;  1 148;   797;  12 276;  6 798;  5 478;;185;;;x;
Almeirim;   49;   48;   40;   8;   1;   0;   174;   41;   133;   180;   100;   80;  1 000;   551;   449;;1851403;;;;x
Alpiarça;   24;   24;   19;   5;   0;   0;   59;   14;   45;   36;   23;   13;   339;   194;   145;;1851404;;;;x
Azambuja;   48;   48;   32;   16;   0;   0;   153;   31;   122;   217;   110;   107;  1 333;   679;   654;;1851103;;;;x
Benavente;   89;   86;   79;   7;   2;   1;   189;   56;   133;   236;   120;   116;  2 278;  1 153;  1 125;;1851405;;;;x
Cartaxo;   53;   51;   41;   10;   1;   1;   161;   42;   119;   166;   103;   63;   978;   522;   456;;1851406;;;;x
Chamusca;   5;   4;   1;   3;   1;   0;   74;   8;   66;   23;   15;   8;   118;   64;   54;;1851407;;;;x
Coruche;   19;   19;   8;   11;   0;   0;   166;   28;   138;   36;   26;   10;   350;   194;   156;;1851409;;;;x
Golegã;   40;   39;   26;   13;   0;   1;   54;   9;   45;   19;   16;   3;   100;   57;   43;;1851412;;;;x
Rio Maior;   40;   40;   33;   7;   0;   0;   145;   39;   106;   306;   185;   121;  1 786;  1 128;   658;;1851414;;;;x
Salvaterra de Magos;   76;   76;   63;   13;   0;   0;   175;   34;   141;   86;   54;   32;   589;   303;   286;;1851415;;;;x
Santarém;   221;   216;   139;   77;   2;   3;   462;   112;   350;   640;   396;   244;  3 405;  1 953;  1 452;;1851416;;;;x
   Alto Alentejo;   204;   203;   137;   65;   1;   0;   926;   150;   776;   405;   196;   209;  2 881;  1 416;  1 465;;186;;;x;
Alter do Chão;   9;   9;   7;   2;   0;   0;   31;   5;   26;   8;   2;   6;   114;   55;   59;;1861201;;;;x
Arronches;   6;   6;   6;   0;   0;   0;   28;   2;   26;   14;   7;   7;   70;   37;   33;;1861202;;;;x
Avis;   8;   8;   3;   5;   0;   0;   34;   4;   30;   8;   4;   4;   61;   34;   27;;1861203;;;;x
Campo Maior;   13;   13;   9;   4;   0;   0;   54;   10;   44;   23;   9;   14;   262;   123;   139;;1861204;;;;x
Castelo de Vide;   5;   5;   5;   0;   0;   0;   31;   5;   26;   26;   13;   13;   142;   68;   74;;1861205;;;;x
Crato;   8;   8;   4;   4;   0;   0;   43;   4;   39;   4;   3;   1;   66;   30;   36;;1861206;;;;x
Elvas;   50;   50;   33;   17;   0;   0;   172;   33;   139;   81;   38;   43;   624;   275;   349;;1861207;;;;x
Fronteira;   4;   4;   3;   1;   0;   0;   22;   3;   19;   5;   3;   2;   71;   39;   32;;1861208;;;;x
Gavião;   10;   10;   8;   2;   0;   0;   28;   1;   27;   4;   2;   2;   18;   11;   7;;1861209;;;;x
Marvão;   5;   5;   2;   3;   0;   0;   39;   8;   31;   43;   21;   22;   212;   110;   102;;1861210;;;;x
Monforte;   6;   6;   4;   2;   0;   0;   20;   1;   19;   2;   1;   1;   36;   23;   13;;1861211;;;;x
Nisa;   9;   9;   4;   5;   0;   0;   76;   8;   68;   14;   6;   8;   92;   46;   46;;1861212;;;;x
Ponte de Sor;   20;   20;   13;   6;   0;   0;   123;   21;   102;   43;   26;   17;   395;   212;   183;;1861213;;;;x
Portalegre;   42;   41;   27;   14;   1;   0;   172;   37;   135;   110;   52;   58;   619;   300;   319;;1861214;;;;x
Sousel;   9;   9;   9;   0;   0;   0;   53;   8;   45;   20;   9;   11;   99;   53;   46;;1861215;;;;x
   Alentejo Central;   504;   499;   337;   160;   3;   2;  1 133;   205;   928;   755;   404;   351;  4 897;  2 547;  2 350;;187;;;x;
Alandroal;   17;   17;   15;   2;   0;   0;   43;   5;   38;   11;   7;   4;   119;   72;   47;;1870701;;;;x
Arraiolos;   15;   15;   7;   8;   0;   0;   52;   10;   42;   13;   7;   6;   164;   86;   78;;1870702;;;;x
Borba;   14;   14;   4;   10;   0;   0;   59;   10;   49;   7;   3;   4;   129;   52;   77;;1870703;;;;x
Estremoz;   38;   37;   23;   14;   0;   1;   101;   14;   87;   16;   7;   9;   326;   159;   167;;1870704;;;;x
Évora;   205;   203;   136;   66;   2;   0;   341;   89;   252;   431;   219;   212;  2 282;  1 147;  1 135;;1870705;;;;x
Montemor-o-Novo;   43;   43;   35;   8;   0;   0;   136;   16;   120;   75;   41;   34;   452;   235;   217;;1870706;;;;x
Mora;   15;   15;   12;   3;   0;   0;   42;   3;   39;   5;   3;   2;   47;   25;   22;;1870707;;;;x
Mourão;   16;   16;   12;   4;   0;   0;   17;   3;   14;   9;   4;   5;   51;   31;   20;;1870708;;;;x
Portel;   12;   12;   8;   4;   0;   0;   32;   2;   30;   13;   11;   2;   129;   74;   55;;1870709;;;;x
Redondo;   19;   18;   15;   3;   0;   1;   45;   8;   37;   10;   5;   5;   194;   104;   90;;1870710;;;;x
Reguengos de Monsaraz;   46;   45;   31;   13;   1;   0;   84;   12;   72;   30;   17;   13;   307;   184;   123;;1870711;;;;x
Vendas Novas;   20;   20;   16;   4;   0;   0;   80;   11;   69;   109;   64;   45;   451;   255;   196;;1870712;;;;x
Viana do Alentejo;   13;   13;   8;   5;   0;   0;   50;   11;   39;   12;   8;   4;   108;   60;   48;;1870713;;;;x
Vila Viçosa;   31;   31;   15;   16;   0;   0;   51;   11;   40;   14;   8;   6;   138;   63;   75;;1870714;;;;x
  Algarve;  1 239;  1 205;  1 062;   140;   20;   14;  3 013;   774;  2 239;  11 993;  6 620;  5 373;  105 137;  55 689;  49 448;;150;;x;x;
Albufeira;   191;   185;   172;   13;   4;   2;   199;   62;   137;  1 913;  1 063;   850;  16 433;  8 777;  7 656;;1500801;;;;x
Alcoutim;   20;   20;   19;   1;   0;   0;   21;   2;   19;   38;   22;   16;   219;   117;   102;;1500802;;;;x
Aljezur;   13;   13;   13;   0;   0;   0;   36;   8;   28;   326;   164;   162;  2 192;  1 107;  1 085;;1500803;;;;x
Castro Marim;   43;   43;   35;   8;   0;   0;   51;   15;   36;   90;   57;   33;   997;   553;   444;;1500804;;;;x
Faro;   101;   99;   77;   21;   2;   0;   456;   135;   321;  1 342;   789;   553;  9 714;  5 262;  4 452;;1500805;;;;x
Lagoa;   27;   27;   27;   0;   0;   0;   150;   42;   108;   553;   323;   230;  5 459;  2 855;  2 604;;1500806;;;;x
Lagos;   56;   56;   50;   6;   0;   0;   217;   46;   171;  1 137;   591;   546;  11 651;  6 021;  5 630;;1500807;;;;x
Loulé;   145;   143;   111;   32;   2;   0;   507;   126;   381;  1 846;   970;   876;  18 707;  9 695;  9 012;;1500808;;;;x
Monchique;   109;   107;   99;   8;   2;   0;   43;   4;   39;   85;   49;   36;   907;   495;   412;;1500809;;;;x
Olhão;   50;   48;   40;   7;   0;   2;   268;   68;   200;   676;   358;   318;  5 288;  2 808;  2 480;;1500810;;;;x
Portimão;   53;   52;   48;   4;   0;   1;   399;   126;   273;  1 610;   899;   711;  12 014;  6 346;  5 668;;1500811;;;;x
São Brás de Alportel;   222;   212;   200;   11;   7;   3;   72;   17;   55;   124;   64;   60;  1 511;   746;   765;;1500812;;;;x
Silves;   75;   72;   64;   8;   1;   2;   260;   55;   205;   806;   471;   335;  7 231;  3 972;  3 259;;1500813;;;;x
Tavira;   40;   39;   27;   12;   0;   1;   185;   36;   149;   840;   475;   365;  7 238;  3 970;  3 268;;1500814;;;;x
Vila do Bispo;   53;   51;   51;   0;   0;   2;   35;   6;   29;   318;   157;   161;  2 345;  1 173;  1 172;;1500815;;;;x
Vila Real de Santo António;   41;   38;   29;   9;   2;   1;   114;   26;   88;   289;   168;   121;  3 231;  1 792;  1 439;;1500816;;;;x
 R. A. Açores;   837;   828;   570;   254;   6;   3;  1 532;   603;   929;   679;   352;   327;  4 462;  2 266;  2 196;;200;x;x;x;
  Santa Maria;   9;   9;   5;   4;   0;   0;   30;   8;   22;   27;   14;   13;   163;   90;   73;;-;;;;
Vila do Porto;   9;   9;   5;   4;   0;   0;   30;   8;   22;   27;   14;   13;   163;   90;   73;;2004101;;;;x
  São Miguel;   480;   475;   335;   137;   3;   2;   816;   348;   468;   376;   189;   187;  2 007;  1 031;   976;;-;;;;
Lagoa (R.A.A.);   118;   118;   101;   16;   0;   0;   92;   31;   61;   20;   12;   8;   162;   92;   70;;2004201;;;;x
Nordeste;   21;   20;   15;   5;   1;   0;   29;   10;   19;   11;   5;   6;   58;   30;   28;;2004202;;;;x
Ponta Delgada;   183;   181;   108;   71;   0;   2;   455;   224;   231;   276;   132;   144;  1 337;   681;   656;;2004203;;;;x
Povoação;   21;   20;   15;   5;   1;   0;   34;   14;   20;   16;   11;   5;   104;   60;   44;;2004204;;;;x
Ribeira Grande;   86;   85;   60;   25;   1;   0;   161;   63;   98;   33;   19;   14;   248;   121;   127;;2004205;;;;x
Vila Franca do Campo;   51;   51;   36;   15;   0;   0;   45;   6;   39;   20;   10;   10;   98;   47;   51;;2004206;;;;x
  Terceira;   207;   205;   127;   78;   2;   0;   338;   128;   210;   105;   46;   59;   671;   340;   331;;-;;;;
Angra do Heroísmo;   168;   167;   101;   66;   1;   0;   206;   78;   128;   70;   35;   35;   445;   238;   207;;2004301;;;;x
Vila da Praia da Vitória;   39;   38;   26;   12;   1;   0;   132;   50;   82;   35;   11;   24;   226;   102;   124;;2004302;;;;x
  Graciosa;   13;   13;   9;   4;   0;   0;   30;   12;   18;   10;   6;   4;   52;   26;   26;;-;;;;
Santa Cruz da Graciosa;   13;   13;   9;   4;   0;   0;   30;   12;   18;   10;   6;   4;   52;   26;   26;;2004401;;;;x
  São Jorge;   18;   18;   13;   5;   0;   0;   60;   16;   44;   27;   14;   13;   134;   62;   72;;-;;;;
Calheta (R.A.A.);   6;   6;   4;   2;   0;   0;   23;   6;   17;   7;   3;   4;   39;   22;   17;;2004501;;;;x
Velas;   12;   12;   9;   3;   0;   0;   37;   10;   27;   20;   11;   9;   95;   40;   55;;2004502;;;;x
  Pico;   50;   50;   41;   9;   0;   0;   87;   30;   57;   43;   27;   16;   538;   273;   265;;-;;;;
Lajes do Pico;   19;   19;   16;   3;   0;   0;   25;   9;   16;   8;   5;   3;   180;   78;   102;;2004601;;;;x
Madalena;   20;   20;   14;   6;   0;   0;   37;   12;   25;   21;   11;   10;   221;   114;   107;;2004602;;;;x
São Roque do Pico;   11;   11;   11;   0;   0;   0;   25;   9;   16;   14;   11;   3;   137;   81;   56;;2004603;;;;x
  Faial;   51;   50;   32;   17;   1;   0;   129;   45;   84;   76;   46;   30;   714;   355;   359;;-;;;;
Horta;   51;   50;   32;   17;   1;   0;   129;   45;   84;   76;   46;   30;   714;   355;   359;;2004701;;;;x
  Flores;   6;   6;   6;   0;   0;   0;   39;   15;   24;   13;   8;   5;   172;   84;   88;;-;;;;
Lajes das Flores;   4;   4;   4;   0;   0;   0;   20;   6;   14;   10;   7;   3;   117;   57;   60;;2004801;;;;x
Santa Cruz das Flores;   2;   2;   2;   0;   0;   0;   19;   9;   10;   3;   1;   2;   55;   27;   28;;2004802;;;;x
  Corvo;   3;   2;   2;   0;   0;   1;   3;   1;   2;   2;   2;   0;   11;   5;   6;;-;;;;
Corvo;   3;   2;   2;   0;   0;   1;   3;   1;   2;   2;   2;   0;   11;   5;   6;;2004901;;;;x
 R. A. Madeira;   866;   836;   642;   194;   13;   17;  1 555;   451;  1 104;  1 665;   899;   766;  10 405;  5 098;  5 307;;300;x;x;x;
Calheta (R.A.M.);   80;   77;   69;   8;   1;   2;   88;   20;   68;   150;   85;   65;   982;   499;   483;;3003101;;;;x
Câmara de Lobos;   64;   64;   35;   29;   0;   0;   176;   59;   117;   55;   29;   26;   458;   227;   231;;3003102;;;;x
Funchal;   331;   317;   232;   85;   7;   7;   685;   189;   496;   869;   489;   380;  5 280;  2 653;  2 627;;3003103;;;;x
Machico;   86;   81;   65;   16;   4;   1;   117;   36;   81;   79;   42;   37;   400;   184;   216;;3003104;;;;x
Ponta do Sol;   45;   41;   39;   2;   0;   4;   50;   14;   36;   80;   41;   39;   516;   234;   282;;3003105;;;;x
Porto Moniz;   19;   19;   18;   1;   0;   0;   14;   3;   11;   9;   3;   6;   105;   43;   62;;3003106;;;;x
Ribeira Brava;   48;   47;   33;   14;   0;   1;   74;   20;   54;   62;   32;   30;   503;   232;   271;;3003107;;;;x
Santa Cruz;   140;   137;   106;   31;   1;   2;   215;   83;   132;   221;   109;   112;  1 429;   676;   753;;3003108;;;;x
Santana;   19;   19;   15;   4;   0;   0;   48;   8;   40;   14;   7;   7;   117;   55;   62;;3003109;;;;x
São Vicente;   7;   7;   6;   1;   0;   0;   52;   9;   43;   37;   19;   18;   195;   92;   103;;3003110;;;;x
Porto Santo;   27;   27;   24;   3;   0;   0;   36;   10;   26;   89;   43;   46;   420;   203;   217;;3003201;;;;x
;Marriages;;;;;;Dissolved marriages;;;Foreign population who has been granted a resident title;;;Foreign population with resident status;;;;;;;;
;Total;Opposite sex couples;;;Same-sex couples;;;;;;;;;;;;;;;;
;;Total;of which;;Male;Female;Total;by divorce;by death;;;;;;;;;;;;
;;;Only civil;Catholic;;;;;;MF;M;F;MF;M;F;;;;;;
© INE, I.P., Portugal, 2022. Informação disponível até 14 de outubro de 2022. Information available till 14th October, 2022.;;;;;;;;;;;;;;;;;;;;;
"Fonte: INE, I.P., Estatísticas Demográficas; População estrangeira que solicitou estatuto de residente.";;;;;;;;;;;;;;;;;;;;;
"Source: Statistics Portugal, Demographic Statistics; Foreign population which requested resident status.";;;;;;;;;;;;;;;;;;;;;
"Nota: Os valores incluem casamentos celebrados e dissolvidos entre pessoas de sexo oposto e do mesmo sexo. 
O indicador “Casamentos dissolvidos por morte” é apresentado segundo a distribuição geográfica de residência do cônjuge falecido. 
O indicador “Casamentos” é apresentado segundo a distribuição geográfica do registo, ou seja, do local onde se situa a conservatória do registo civil onde foi lavrado o assento do casamento. Este indicador não apresenta dados para o município de Odivelas devido à inexistência de Conservatória de Registo Civil neste município.
O indicador ""Casamentos dissolvidos por divórcio"" diz respeito aos divórcios decretados em Portugal de indivíduos residentes em Portugal.
O indicador “População estrangeira com estatuto de residente” compreende exclusivamente os indivíduos de nacionalidade estrangeira detentores de um título de residência válido.";;;;;;;;;;;;;;;;;;;;;
"Note: The values include civil marriages and dissolved marriages between different sex and same sex individuals.
The indicator “Marriages dissolved by death” is presented by geographical breakdown of the deceased spouse. 
The indicator “Marriages” is presented by geographical breakdown of the location of the civil register where the marriage was drawn up. This indicator is not available for the municipality of Odivelas due to the non-existence of a Civil Register Office in that municipality.
The indicator ""Marriages dissolved by divorce"" correspond to divorces decreed in Portugal from individuals residing in Portugal.
The indicator “Foreign population with resident status” only includes foreigners with a valid residence title.";;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Para mais informação consulte / For more information see:;;;;;;;;;;;;;;;;;;;;;
http://www.ine.pt/xurl/ind/0008138;;http://www.ine.pt/xurl/ind/0008365;;;;http://www.ine.pt/xurl/ind/0008627;;;;;;;;;;;;;;;
http://www.ine.pt/xurl/ind/0008126;;http://www.ine.pt/xurl/ind/0008162;;;;http://www.ine.pt/xurl/ind/0009107;;;;;;;;;;;;;;;
http://www.ine.pt/xurl/ind/0010246;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
